"Function Code","Mnemonic","Long Name","Group","Number Of Parameters","Data Field Length Bytes","Description","Variable Size"
0x17d40004,"FJ_ABORT_ALL_EXCEPT","Sequence Engine Abort All Except","Command Sequencing","1","120","Sequence Engine Abort All Sequences except the one(s) specified","False"
0x17d40005,"FJ_LOAD","Sequence Engine Load","Command Sequencing","1","120","Sequence Engine Load Sequence","False"
0x17d40006,"FJ_UNLOAD","Sequence Engine Unload","Command Sequencing","1","120","Sequence Engine Unload Sequence","False"
0x17d40007,"FJ_SHOW_PROCS","Sequence Engine Show Procedures","Command Sequencing","0","0","Sequence Engine Show Loaded Procedures","False"
0x17d40008,"FJ_MAKE_CURRENT","Sequence Engine Make Current","Command Sequencing","3","128","Sequence Engine Make Current","False"
0x180000,"SEQ_NOOP","Sequence Engine No-OP","Command Sequencing","0","0","Sequence Engine No-OP","False"
0x1e0000,"TM_NOOP","Time No-OP","Command & Data Handling","0","0","Time No-OP","False"
0xfa00000,"TIME_SET_SCLK","Time Set SCLK","Command & Data Handling","2","6","Time set spacecraft clock","False"
0xfa00001,"TIME_SET_UTC_MINUS_SCLK","Time Set UTC - SCLK","Command & Data Handling","1","8","Time set UTC minus spacecraft clock","False"
0xfa00002,"TIME_SET_GPS_MINUS_SCLK","Time Set GPS - SCLK","Command & Data Handling","1","8","Time set GPS minus spacecraft clock","False"
